TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
0.927272727272727,0.0468619246861925,1.01818181818182,60,NA,0.945454545454545,0,55,0,52,1118,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,9.09,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.927272727272727,0.0426778242677824,0.927272727272727,55,NA,0.854545454545454,0,55,0,47,1123,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,42.77,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.963636363636364,0.0192468619246862,0.418181818181818,25,NA,0.381818181818182,0,55,0,21,1149,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.21,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.990909090909091,0.00627615062761506,0.136363636363636,8,NA,0.127272727272727,0,55,0,7,1163,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.63,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.000836820083682008,0.0181818181818182,1,NA,0.0181818181818182,0,55,0,1,1169,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.06,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,55,0,0,1170,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.4,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,55,0,0,1170,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,18.22,NA,fges,True,sem-bic,continuous,1,1,1,NA
1,0,0,0,NA,0,0,55,0,0,1170,50,55,1170,unknown,4,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.63,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.884615384615385,0.0409015025041736,0.942307692307692,55,NA,0.826923076923077,0,52,0,43,1130,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.49,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.894230769230769,0.0346410684474124,0.798076923076923,47,NA,0.692307692307692,0,52,0,36,1137,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,14.06,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.971153846153846,0.0137729549248748,0.317307692307692,18,NA,0.288461538461538,0,52,0,15,1158,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.83,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.990384615384615,0.00459098497495826,0.105769230769231,6,NA,0.0961538461538462,0,52,0,5,1168,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,15.62,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.00166944908180301,0.0384615384615385,2,NA,0.0384615384615385,0,52,0,2,1171,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.54,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0.000834724540901503,0.0192307692307692,1,NA,0.0192307692307692,0,52,0,1,1172,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.16,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,52,0,0,1173,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,12.78,NA,fges,True,sem-bic,continuous,1,1,1,NA
