TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
0.579787234042553,0.188323917137476,1.06382978723404,279,NA,0.978723404255319,0.335106382978723,125,63,184,853,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,19.09,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.710106382978723,0.198210922787194,1.11968085106383,265,NA,1.02127659574468,0.191489361702128,152,36,192,845,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,21.14,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0.05,0.2,2,NA,0.2,0,10,0,2,33,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.24,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.71,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.5,0.884615384615385,0.310810810810811,30,NA,0.108108108108108,0.297297297297297,26,11,4,4,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.04,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.608108108108108,1.11538461538462,0.391891891891892,29,NA,0.0810810810810811,0.0810810810810811,34,3,3,5,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.75,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0,0,0,NA,0,0,23,0,0,167,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.11,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.00564971751412429,0.0434782608695652,1,NA,0.0434782608695652,0,23,0,1,166,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.4,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.520547945205479,0.330708661417323,0.575342465753425,77,NA,0.438356164383562,0.342465753424658,48,25,32,85,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,7.02,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.657534246575342,0.503937007874016,0.876712328767123,89,NA,0.712328767123288,0.178082191780822,60,13,52,65,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,10.04,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
